"","CommonName","ScientificName","Order","Family","MeanLog","SDLog","Median","SD"
"1","House Sparrow","Passer domesticus","Passeriformes","Passeridae (Old World Sparrows)",21.2045953409649,0.433564086152638,1618224408.5091,1.5427462170792
"2","European Starling","Sturnus vulgaris","Passeriformes","Sturnidae (Starlings)",20.983053006019,0.572343765640369,1296654089.20405,1.7724163155438
"3","Ring-billed Gull","Larus delawarensis","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",20.9095941175281,2.01391012345315,1204817713.7241,7.49255696752577
"4","Barn Swallow","Hirundo rustica","Passeriformes","Hirundinidae (Swallows)",20.7967183915478,0.555929334942145,1076217473.89352,1.74356058385682
"5","Glaucous Gull","Larus hyperboreus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",20.6978449135561,2.2675055912362,974899467.662462,9.65528651981077
"6","Alder Flycatcher","Empidonax alnorum","Passeriformes","Tyrannidae (Tyrant Flycatchers)",20.6196076900735,1.46550524839938,901533436.773534,4.32973027704805
"7","Black-legged Kittiwake","Rissa tridactyla","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",20.5563537166752,2.03057079594752,846273978.397165,7.61843368901884
"8","Horned Lark","Eremophila alpestris","Passeriformes","Alaudidae (Larks)",20.4715293530898,0.97038999281637,777449581.593418,2.63897343937765
"9","Sooty Tern","Onychoprion fuscatus","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)",20.349624525324,2.23533745725474,688223725.413262,9.34963642254031
"10","Savannah Sparrow","Passerculus sandwichensis","Passeriformes","Passerellidae (New World Sparrows)",20.2217899292388,0.880051040410584,605636136.716147,2.4110227628685
"11","American Robin","Turdus migratorius","Passeriformes","Turdidae (Thrushes and Allies)",20.1350339649826,0.700322729290099,555308273.349009,2.01440270933387
"12","Blue-gray Gnatcatcher","Polioptila caerulea","Passeriformes","Polioptilidae (Gnatcatchers)",20.1160284833118,1.21798286152601,544854030.774145,3.38036219326957
"13","Red-winged Blackbird","Agelaius phoeniceus","Passeriformes","Icteridae (Troupials and Allies)",19.847962999969,0.728456323281787,416735797.557801,2.07187982517396
